	NOMS	Occurence
782	Péthellaz	1
783	R Montel	1
784	R. Beaudiment	2
785	R. Blanchard	1
786	R. E. Hoyt	1
787	R. Guilliny	1
788	R. Le Dentu	1
789	R. Lhomme	1
790	R. Montel	1
791	R. Pons	1
792	Rangé	1
793	Raoul Dumas	4
794	Raoul Violle	1
795	Raoult André	1
796	Rapuc	1
797	Rapuc. Climatologie 	1
798	Raynal	2
799	Raynau	1
800	Reboul	2
801	Reboul-Lachaux	1
802	Rebufat	1
803	Regnault	1
804	Renault	5
805	Rencurel	1
806	Retière	1
807	Rey	1
808	Ribot	2
809	Richer	1
810	Rigollet	3
811	Ringenbach	2
812	Rivière	1
813	Rivoalen	1
814	Robert Koch	1
815	Robert Strauss	1
816	Robert W. Cruickshank	1
817	Robineau	4
818	Ronald Ross	1
819	Roquemaure	1
820	Roques	1
821	Roton	1
822	Roubaud	1
823	Rouffiandis	6
824	Rousseau	1
825	Rousselot-Bénaud	1
826	Roussy	2
827	Roux	1
828	Ruelle	1
829	Récamier	1
830	Rédaction des Annales	1
831	Régnier	1
832	Réland	1
833	Sadoul	1
834	Salanoue	1
835	Salanoue-Ifin	2
836	Salanoue-Ipin	4
837	Sambuc	1
838	Sanner	8
839	Sarrailhé	5
840	Sautarel	2
841	Sauzeau de Puyberneau	1
842	Savignac	1
843	Seguin	4
844	Semple	1
845	Simond	5
846	Sir William Leishmann	1
847	Sobre-Casas	1
848	Sorel	10
849	Spire	10
850	Suldey	1
851	Séguin	3
852	Sérez 	2
853	Talairach	1
854	Talbot	10
855	Talec	4
856	Tardif	1
857	Tedeschi	1
858	Texier	1
859	Thibault	2
860	Thiroux	12
861	Thiéry	1
862	Thoulon	1
863	Thézé	1
864	Toubert	1
865	Touin	3
866	Toullec	2
867	Tournier	5
868	Traduction du Dr Morel (A.-D.)	1
869	Trautmann	2
870	Tédeschi	2
871	V. Brochard	1
872	V. Dufour	1
873	V. Dufour 	1
874	V. Huot	1
875	V. L. Huot	1
876	V. Labernadie	4
877	V. Petersen	1
878	V. Reynes	1
879	V. Rouffiandis	2
880	Vadon	1
881	Valassapoulo	1
882	Valence	1
883	Vall	1
884	Vallet	1
885	Vassal	1
886	Vassal (J.-J)	1
887	Vaucel	6
888	Vaysse	1
889	Vaysse 	1
890	Ventrillon	1
891	Verdier	4
892	Vergnes	2
893	Viala	4
894	Vielle	1
895	Vincens	1
896	Vivie	3
897	Vogel	2
898	W. Chamberlain 	1
899	Williams and Norgate	1
900	Y. Chaigneau	2
901	Yersin	4
902	Yves Chaigneau	1
903	Zéganadane André	1
904	de Boyer de Choisy	1
905	de Goyon	2
906	de Palmas	1
907	la Fondation Léonard Wood pour la suppression de la lèpre	1
908	la Société de Médecine de Chatel-Guyon	1
909	le Bourhis	1
910	le Fargier	1
911	le capitaine A.-J. Hall	1
912	le capitaine ENSOR	1
913	le lieutenant-colonel C. H. Hale	1
914	le major C. E. P. Fowler	1
915	le professeur Chauffard	1
916	les Drs Aubert	1
917	les éthers éthyliques de l'huile de chaulmoogra	1
918	rapport du gouvernement général de l'Afrique occidentale française	1
919	sir Rubert-Boyce	1
920	Édouard Heckel	1
921	Édouard Sambuc	1
922	Émery	1
923	Émily	2
