	NOM (Prenom)	Recherche_G-nbr	Recherche_NomPrenom-nbr
600	TOUIN()	4	4
601	TOURNAIRE (P.)	43	0
602	TOURNIER (E.)	307	2
603	TOURNIER (ELIE)	307	0
604	TRAUTMANN (R.)	73	2
605	TRIBAUDEAU (J.)	2	0
606	TRIBONDEAU (L.)	16	0
607	TRIBOUT (A.)	38	0
608	TRILLAT()	24	24
609	TROUETTE (G.)	8	0
610	TROUSSAINT()	1	1
611	ULBRICH (H.)	28	1
612	URBAIN (G.)	335	4
613	VAILLANT (L.)	418	1
614	VAILLARD	10	10
615	VALLET (G.)	353	2
616	VALLIN	81	81
617	VAN DEN BRANDEN (F.)	0	19
618	VAN HOOF (L.)	0	1
619	VAN SACEGHEM (R.)	0	0
620	VANDENBRANDEN (F.)	2	0
621	VASSAL (J.J.)	89	0
622	VEILLON (A.)	62	0
623	VELU (A.)	34	1
624	VELU (H.)	34	0
625	VERDUN (P.)	53	0
626	VERNES (A.)	28	0
627	VIALATTE (C.)	41	0
628	VIALATTE (CH )	41	0
629	VIENNE (M.)	127	6
630	VIGNE (P.)	164	2
631	VIGUIER (A.)	159	1
632	VILLENEUVE	375	375
633	VILLENEUVE (J.)	375	2
634	VINCENT	10124	10124
635	VINCENT (H.)	10124	29
636	VIOLLE (H.)	25	0
637	VIOLLE (R.)	25	0
638	VISENTINI (A.)	18	0
639	VIVIEN	422	422
640	VON KNAFF-LENZ (E.)	0	0
641	WACON (P.)	0	0
642	WAGON	15	15
643	WAGON (P.)	15	0
644	WASSILEWSKY (W.J.)	0	0
645	WEINBERG (M.)	172	4
646	WENIAMINOFF (S.D.)	1	0
647	WINOGRADOFF (A.A.)	2	0
648	WINOGRADOFF (W.W.)	2	0
649	WITH	21	21
650	WURTZ (R.)	104	0
651	WYDOOGHE (J.)	1	1
652	YAKIMOFF (A.-S.)	0	0
653	YAKIMOFF (W -L )	0	0
654	YAKOBLEW	0	0
655	YAMANOUCHI (T.)	13	0
656	YERSIN (A.)	16	0
657	YOFÉ (H.)	4	0
658	YVERNAULT (A.)	16	0
659	YVON (P.)	854	4
660	ZABOLOTNY	2	2
661	ZAMMIT (TH.)	33	0
662	ZUCCARELLI	25	25
